,Team,Rating,Estimated Rating,mu,sigma
0,whitfords city wristies,"trueskill.Rating(mu=22.211, sigma=3.363)",12.12166949751841,22.21096878895039,3.3630997638106597
1,greenmount doom,"trueskill.Rating(mu=33.752, sigma=3.518)",23.198185578226298,33.75219646211616,3.518003627963288
2,innaloo pinguz,"trueskill.Rating(mu=20.003, sigma=4.917)",5.252616456367846,20.00277037060262,4.9167179714115905
3,mosman park milkmen,"trueskill.Rating(mu=25.650, sigma=3.863)",14.061886714933548,25.650328250376898,3.8628138451477834
4,mullaloozers,"trueskill.Rating(mu=25.307, sigma=3.030)",16.215915090402678,25.30675490519052,3.0302799382626135
5,cottesloe clam hunters,"trueskill.Rating(mu=32.010, sigma=3.351)",21.957178762482982,32.00985025487404,3.350890497463686
6,hillarys humpbacks,"trueskill.Rating(mu=22.360, sigma=3.446)",12.02107827759189,22.359902361376207,3.4462746945947726
7,karrinyup bandits,"trueskill.Rating(mu=29.301, sigma=3.073)",20.08266930979028,29.30056720629589,3.0726326321685375
8,scarbra streisands,"trueskill.Rating(mu=31.195, sigma=3.540)",20.573484583800735,31.194962057528347,3.540492491242538
9,shenton park speed dealers,"trueskill.Rating(mu=27.469, sigma=3.569)",16.762449193929655,27.468681088995517,3.568743965021954
10,inglewood coldcuts,"trueskill.Rating(mu=15.310, sigma=3.303)",5.402047020384082,15.309600716442551,3.3025178986861565
11,karrakatta grim jobs,"trueskill.Rating(mu=27.055, sigma=3.275)",17.229726539833784,27.054707888226922,3.274993782797712
12,ocean beef,"trueskill.Rating(mu=22.951, sigma=3.266)",13.15385561829143,22.951033825363996,3.2657260690241885
13,gmla guardians,"trueskill.Rating(mu=34.383, sigma=3.797)",22.991979223264984,34.382651123959974,3.796890633564997
14,creepy crawleys,"trueskill.Rating(mu=25.125, sigma=3.465)",14.72943011980404,25.125377214753225,3.4653156983163953
15,gmla angels,"trueskill.Rating(mu=25.006, sigma=3.888)",13.342131569242742,25.0062837426885,3.888050724481919
16,dog swamp swamp dogs,"trueskill.Rating(mu=26.846, sigma=3.708)",15.721964193069569,26.845835799754504,3.7079572022283114
17,south perth puckaneers,"trueskill.Rating(mu=22.996, sigma=3.285)",13.141033741164945,22.99583488706773,3.2849337153009284
18,willo wonkas,"trueskill.Rating(mu=23.397, sigma=3.215)",13.751767838562047,23.397286574958624,3.2151729121321924
19,gravel road grindrs,"trueskill.Rating(mu=18.198, sigma=3.329)",8.211788165603675,18.198372139359414,3.328861324585246
20,kensington kermits,"trueskill.Rating(mu=20.678, sigma=3.280)",10.838788623034665,20.677519585441036,3.2795769874687903
21,hungry spot heroes,"trueskill.Rating(mu=22.985, sigma=3.286)",13.12753693060128,22.985201657485337,3.2858882422946856
22,perth glory-holerz,"trueskill.Rating(mu=18.270, sigma=3.834)",6.767719235130759,18.26951721232982,3.833932659066354
23,innaloominati,"trueskill.Rating(mu=20.492, sigma=3.547)",9.85152544765003,20.492306767151547,3.546927106500506
24,gmla jurassic pucks,"trueskill.Rating(mu=13.342, sigma=3.740)",2.1216469361745585,13.342308296758118,3.740220453527853
25,freo fussy puckers,"trueskill.Rating(mu=16.085, sigma=3.485)",5.629052766106604,16.08487201485148,3.485273082914959
26,doubleview double yewws,"trueskill.Rating(mu=30.858, sigma=3.740)",19.639033488852505,30.858086856234152,3.7396844557938818
27,bicton banter lords,"trueskill.Rating(mu=29.349, sigma=3.545)",18.713856545625685,29.349431396781096,3.5451916170518034
28,dianella demons,"trueskill.Rating(mu=25.697, sigma=3.556)",15.02919097726729,25.6974547696269,3.5560879307865374
29,como mo co,"trueskill.Rating(mu=30.845, sigma=3.474)",20.424284985147338,30.84538964121881,3.4737015520238232
30,parkwood benders,"trueskill.Rating(mu=25.659, sigma=3.724)",14.485855973943579,25.658692796671446,3.724278940909289
31,melville massiv,"trueskill.Rating(mu=23.481, sigma=3.488)",13.017663096715552,23.48120432059425,3.4878470746262336
32,bicton bath salts,"trueskill.Rating(mu=26.548, sigma=3.152)",17.09233052982022,26.547850785594413,3.1518400852580646
33,brentwood bushchooks,"trueskill.Rating(mu=40.001, sigma=4.362)",26.91677257542633,40.001318578479186,4.361515334350953
34,floreat flamingos,"trueskill.Rating(mu=20.390, sigma=3.397)",10.200340305764307,20.38989414045153,3.3965179448957414
35,subiaco silkworms,"trueskill.Rating(mu=25.607, sigma=3.271)",15.794742109261408,25.60654541409833,3.2706011016123075
36,west leederville wobbegongs,"trueskill.Rating(mu=26.873, sigma=3.605)",16.059025122472015,26.872608463072453,3.6045277802001467
37,north perth bald beavers,"trueskill.Rating(mu=19.488, sigma=3.177)",9.956401079989115,19.488069629500778,3.177222849837221
38,claremont cereal killahs,"trueskill.Rating(mu=21.929, sigma=3.260)",12.14975922460104,21.92912104269606,3.25978727269834
39,maylands muthapuckas,"trueskill.Rating(mu=22.997, sigma=3.025)",13.921999599611244,22.99656620560879,3.0248555353325153
40,mt pleasant mounties,"trueskill.Rating(mu=31.615, sigma=3.457)",21.24263267438487,31.614655043614373,3.4573407897431685
41,mindarie molotovs,"trueskill.Rating(mu=32.023, sigma=3.923)",20.253483385973883,32.02294957248842,3.923155395504846
42,churchlands hellraisers,"trueskill.Rating(mu=26.983, sigma=3.160)",17.504212227653444,26.983452580529228,3.1597467842919285
