,Team,Rating,mu,sigma
0,mosman park milkmen,"trueskill.Rating(mu=25.650, sigma=8.333)",25.650328250376898,8.333333333333334
1,innaloo pinguz,"trueskill.Rating(mu=20.003, sigma=8.333)",20.002770370602622,8.333333333333334
2,gmla jurassic pucks,"trueskill.Rating(mu=23.102, sigma=2.751)",23.102413931894876,2.751404336062811
3,mullaloozers,"trueskill.Rating(mu=25.449, sigma=3.075)",25.449196320148403,3.0747250670090223
4,dianella demons,"trueskill.Rating(mu=27.933, sigma=2.864)",27.933276487095853,2.8642654428655088
5,brentwood bushchooks,"trueskill.Rating(mu=40.001, sigma=8.333)",40.001318578479193,8.333333333333334
6,mt pleasant mounties,"trueskill.Rating(mu=31.079, sigma=2.944)",31.079098518468275,2.9437162629342333
7,shenton park speed dealers,"trueskill.Rating(mu=19.682, sigma=3.040)",19.682450001267735,3.0395543000942737
8,west leederville wobbegongs,"trueskill.Rating(mu=26.873, sigma=8.333)",26.872608463072449,8.333333333333334
9,applecross dressers,"trueskill.Rating(mu=14.521, sigma=2.615)",14.521447653441381,2.6148982774641567
10,willo wonkas,"trueskill.Rating(mu=27.744, sigma=3.065)",27.744266173645038,3.064920593487358
11,inglewood coldcuts,"trueskill.Rating(mu=22.174, sigma=2.965)",22.174413861436545,2.964898947067983
12,ocean beef,"trueskill.Rating(mu=30.308, sigma=3.158)",30.307829148455458,3.1575378453809493
13,50 shades of graylands,"trueskill.Rating(mu=23.997, sigma=2.972)",23.99656574602436,2.972202425616322
14,maylands muthapuckas,"trueskill.Rating(mu=23.456, sigma=2.819)",23.45640802967669,2.819058291162559
15,cotteslowbros,"trueskill.Rating(mu=24.826, sigma=2.692)",24.826358315126154,2.691928830293765
16,karrakatta grim jobs,"trueskill.Rating(mu=26.871, sigma=2.863)",26.870663843513938,2.862708672774563
17,greenmount doom,"trueskill.Rating(mu=30.272, sigma=3.060)",30.272415869163805,3.0602130076123233
18,daglish dhe moisties,"trueskill.Rating(mu=29.478, sigma=2.716)",29.47766811943509,2.7161404873320114
19,floreat flamingos,"trueskill.Rating(mu=20.390, sigma=8.333)",20.389894140451528,8.333333333333334
20,dalkeith dalqueefs,"trueskill.Rating(mu=15.037, sigma=2.802)",15.037383590900701,2.8018880751088417
21,gmla angels,"trueskill.Rating(mu=30.294, sigma=2.864)",30.29421597652392,2.864028453347386
22,cottesloe's hottest hoes,"trueskill.Rating(mu=17.175, sigma=2.819)",17.17511451239889,2.818745184122005
23,bull creek buttchuggers,"trueskill.Rating(mu=20.559, sigma=2.631)",20.558997750787995,2.6309969500217996
24,chick park,"trueskill.Rating(mu=20.301, sigma=2.801)",20.301203074698492,2.8011773316024615
25,wembley blue light discos,"trueskill.Rating(mu=24.174, sigma=2.544)",24.17356193866013,2.5441781206064773
26,hungry spot heroes,"trueskill.Rating(mu=23.168, sigma=2.762)",23.167524510787608,2.761709721756384
27,lake mongrels,"trueskill.Rating(mu=28.095, sigma=2.590)",28.09450735380505,2.5901055158593103
28,swanbourne nudists,"trueskill.Rating(mu=22.445, sigma=3.011)",22.444641450029238,3.010540280143292
29,doubleview double yewws,"trueskill.Rating(mu=26.485, sigma=2.681)",26.485226054264817,2.681030411387034
30,creepy crawleys,"trueskill.Rating(mu=12.252, sigma=3.066)",12.251929145871657,3.066078157252764
31,west coast spastic eagles,"trueskill.Rating(mu=24.097, sigma=2.813)",24.097097077010613,2.8131159879702303
32,wembley food caughts,"trueskill.Rating(mu=29.115, sigma=2.568)",29.115264699757983,2.568236074404276
33,kensington kermits,"trueskill.Rating(mu=25.369, sigma=2.943)",25.36859956909393,2.94323063010789
34,karrinyup bandits,"trueskill.Rating(mu=29.301, sigma=8.333)",29.300567206295892,8.333333333333334
35,mt lawley chai lattes,"trueskill.Rating(mu=15.438, sigma=2.847)",15.437551334814755,2.846647791667971
36,leederphiles rolferhockey,"trueskill.Rating(mu=24.374, sigma=2.969)",24.374493585483403,2.9685738881333457
37,whorebin grovers,"trueskill.Rating(mu=21.175, sigma=2.738)",21.17486744056135,2.737743541318176
38,rosemount rinsers,"trueskill.Rating(mu=21.780, sigma=2.840)",21.779517598103617,2.840180310000349
39,claremont cereal killahs,"trueskill.Rating(mu=25.379, sigma=2.876)",25.37881645750176,2.8762062277136904
40,hillarys humpbacks,"trueskill.Rating(mu=27.782, sigma=2.768)",27.78193199235174,2.7675087729807273
41,south perth puckaneers,"trueskill.Rating(mu=18.991, sigma=3.102)",18.991344876388883,3.102117579097289
42,scarbra streisands,"trueskill.Rating(mu=28.807, sigma=2.670)",28.807246086019255,2.6697573366266454
43,perth on heat,"trueskill.Rating(mu=24.034, sigma=2.414)",24.034296474483778,2.413500045377884
44,booragoonbags,"trueskill.Rating(mu=18.411, sigma=2.760)",18.410902662447963,2.759614947814457
45,balcatta bandits,"trueskill.Rating(mu=35.325, sigma=2.735)",35.325052816496104,2.735395082986203
46,perth glory-holerz,"trueskill.Rating(mu=18.270, sigma=8.333)",18.26951721232982,8.333333333333334
47,north perth bald beavers,"trueskill.Rating(mu=32.232, sigma=3.242)",32.23244777094146,3.2415146767659415
48,mosman mooseknuckles,"trueskill.Rating(mu=35.221, sigma=2.985)",35.220906109335644,2.984576060033161
49,cottesloe clam hunters,"trueskill.Rating(mu=32.010, sigma=8.333)",32.009850254874038,8.333333333333334
50,dog swamp swamp dogs,"trueskill.Rating(mu=26.697, sigma=2.740)",26.696594178637667,2.740006894404307
51,como at me bro,"trueskill.Rating(mu=20.704, sigma=3.240)",20.703823024043643,3.2398893089797367
52,nedlands yung puccbois,"trueskill.Rating(mu=23.282, sigma=2.618)",23.281559151726224,2.6180066323378233
53,mindarie molotovs,"trueskill.Rating(mu=35.318, sigma=2.895)",35.3176627549796,2.8952319490072447
54,bicton bath salts,"trueskill.Rating(mu=24.778, sigma=2.783)",24.77753392564839,2.7832939436682884
55,city beach kooks,"trueskill.Rating(mu=22.504, sigma=2.727)",22.504165322598233,2.726515518280109
56,freo fussy puckers,"trueskill.Rating(mu=24.970, sigma=3.599)",24.97034541669986,3.598610247198991
57,attafail whales,"trueskill.Rating(mu=10.840, sigma=3.365)",10.840135648764713,3.3652914832462715
58,mount lawless,"trueskill.Rating(mu=31.787, sigma=2.688)",31.786881963671988,2.68759864517224
59,gravel road grindrs,"trueskill.Rating(mu=18.198, sigma=8.333)",18.198372139359414,8.333333333333334
60,gmla guardians,"trueskill.Rating(mu=37.376, sigma=3.180)",37.376258609359105,3.179946321084606
61,west stirling banjo breakers,"trueskill.Rating(mu=24.028, sigma=2.713)",24.02807229667438,2.712971528808497
62,wembley food courts,"trueskill.Rating(mu=26.640, sigma=2.702)",26.64007963650862,2.7021287732696884
63,parkwood benders,"trueskill.Rating(mu=25.659, sigma=8.333)",25.658692796671453,8.333333333333334
64,melville massiv,"trueskill.Rating(mu=34.973, sigma=2.963)",34.973360729810935,2.963118246989895
65,perth glory holez,"trueskill.Rating(mu=15.851, sigma=2.914)",15.850877108391769,2.9138973245311743
66,whitfords city wristies,"trueskill.Rating(mu=22.687, sigma=2.776)",22.687037798385617,2.7757561414856076
67,city beach groins,"trueskill.Rating(mu=25.922, sigma=2.659)",25.92237974548124,2.659470955662755
68,fremantle cappuccino strippers,"trueskill.Rating(mu=21.304, sigma=2.770)",21.303602641134074,2.7701756700970037
69,subiaco silkworms,"trueskill.Rating(mu=16.642, sigma=2.785)",16.64232845670866,2.784935720576326
70,innaloominati,"trueskill.Rating(mu=25.736, sigma=2.769)",25.735936640073337,2.768603535109813
71,bicton banter lords,"trueskill.Rating(mu=39.700, sigma=3.069)",39.699680169894336,3.06884541996016
72,como mo co,"trueskill.Rating(mu=39.769, sigma=3.645)",39.768522864890485,3.6446207162993307
73,churchlands hellraisers,"trueskill.Rating(mu=28.620, sigma=2.604)",28.619991284478147,2.603518611404973
